x_L y_L        x_R y_R       H_x_L H_y_L      H_x_R H_y_R    R 
601 252        2288 252      632 210         2260 212    53.0
586 199        2216 195      632 210         2260 212    53.0
672 179        2296 174      632 210         2260 212    53.0
601 171        2226 178      632 210         2260 212    53.0
623 258        2317 254      632 210         2320 192    53.0
585 199        2216 195      632 210         2260 212    53.0
683 193        2303 179      632 210         2260 212    53.0
678 200        2305 200      632 210         2260 212    53.0
671 178        2296 174      632 210         2260 212    53.0
680 208        2305 201      632 210         2260 212    53.0
650 773        2583 821      636 826         2514 810    57.0
634 843        2757 865      642 904         2686 878    60.0
593 937        2365 936      642 904         2318 874    60.0
593 932        2365 932      642 904         2318 874    60.0
662 950        2225 1007      654 978         2266 980    33.0
617 1306        2328 1317      656 1294         2306 1292    42.0
621 1310        2342 1308      656 1294         2366 1280    42.0
602 441        2458 431      664 474         2446 508    71.0
722 425        2864 488      664 474         2804 454    71.0
614 1366        2348 1373      672 1354         2388 1352    53.0
652 524        2346 526      672 596         2322 594    71.0
656 526        2346 526      672 596         2322 594    71.0
647 1395        2366 1401      672 1354         2388 1352    53.0
690 664        1948 630      672 596         1910 578    71.0
686 664        1948 630      672 596         1910 578    71.0
646 1400        2366 1401      672 1354         2388 1352    53.0
637 1308        2362 1307      672 1354         2388 1352    53.0
686 665        1948 630      672 596         1910 578    71.0
720 549        2825 589      672 596         2794 586    71.0
609 1280        2333 1279      674 1236         2384 1222    75.0
718 1293        2428 1278      674 1236         2384 1222    75.0
609 1277        2333 1279      674 1236         2384 1222    75.0
609 1276        2334 1276      674 1236         2384 1222    75.0
708 1300        2414 1290      674 1236         2384 1222    75.0
714 1292        2430 1274      674 1236         2384 1222    75.0
736 1280        2428 1278      674 1236         2384 1222    75.0
705 1302        2431 1277      674 1236         2384 1222    75.0
611 1271        2334 1276      674 1236         2384 1222    75.0
699 1027        2438 1082      680 1096         2388 1116    70.0
725 1044        2438 1082      680 1096         2388 1116    70.0
609 1085        2360 1086      680 1096         2284 1106    70.0
723 304        2612 267      684 246         2602 234    69.0
706 311        2382 304      684 246         2338 264    69.0
732 290        2113 241      684 246         2166 268    69.0
749 225        2612 267      684 246         2602 234    69.0
649 291        2345 289      686 334         2374 328    60.0
649 287        2348 286      686 334         2374 328    60.0
718 288        2435 286      686 334         2492 332    60.0
743 320        2758 306      686 334         2816 294    60.0
619 878        2276 857      694 862         2216 860    76.0
616 875        2750 842      694 862         2686 878    76.0
705 320        2462 329      702 392         2498 394    72.0
678 323        2715 287      702 392         2694 364    72.0
785 823        2491 877      730 798         2514 810    60.0
679 508        2511 534      732 494         2446 508    58.0
761 449        2549 454      732 494         2618 486    58.0
723 238        2402 246      738 286         2434 316    46.0
781 289        2116 301      738 286         2166 268    46.0
809 195        2448 179      738 206         2380 204    76.0
778 256        2113 241      738 286         2166 268    46.0
737 235        2405 239      738 286         2434 316    46.0
778 258        2441 261      738 286         2414 260    46.0
768 246        2409 248      738 286         2434 316    46.0
764 245        2414 247      738 286         2434 316    46.0
733 234        2419 243      738 286         2434 316    46.0
694 281        1859 274      738 286         1894 304    46.0
785 1245        2428 1278      746 1200         2384 1222    64.0
768 1258        2452 1258      746 1200         2384 1222    64.0
800 1238        2424 1283      746 1200         2384 1222    64.0
763 918        2472 933      754 982         2538 970    68.0
810 374        2085 368      762 388         2160 362    56.0
818 374        2085 368      762 388         2160 362    56.0
842 703        2460 695      772 690         2518 668    68.0
813 739        2439 732      772 690         2390 678    68.0
827 655        2232 660      772 690         2274 688    68.0
816 746        2439 732      772 690         2390 678    68.0
841 695        2461 675      772 690         2518 668    68.0
842 677        2461 675      772 690         2518 668    68.0
779 811        2164 794      772 752         2190 734    64.0
841 677        2052 716      772 690         2112 700    68.0
835 778        2450 750      772 752         2504 732    64.0
842 706        2050 699      772 690         2112 700    68.0
794 630        2314 653      772 690         2390 678    68.0
842 701        2050 699      772 690         2112 700    68.0
841 865        2017 883      778 840         1990 816    70.0
837 864        2017 883      778 840         1990 816    70.0
838 863        2017 883      778 840         1990 816    70.0
847 863        2020 881      778 840         1990 816    70.0
837 867        2017 883      778 840         1990 816    70.0
859 1135        2521 1135      792 1152         2456 1160    71.0
860 1176        2521 1177      792 1152         2456 1160    71.0
858 1175        2521 1177      792 1152         2456 1160    71.0
814 1225        2493 1223      792 1152         2456 1160    71.0
859 1135        2520 1135      792 1152         2456 1160    71.0
798 1222        2476 1222      792 1152         2456 1160    71.0
858 1175        2521 1177      792 1152         2456 1160    71.0
748 935        2440 961      794 930         2398 900    44.0
819 266        2446 272      798 340         2492 332    76.0
744 288        2435 286      798 340         2492 332    76.0
814 261        2090 242      798 340         2088 316    76.0
748 288        2435 286      798 340         2492 332    76.0
841 270        2499 270      798 340         2434 316    76.0
739 297        2410 291      798 340         2374 328    76.0
840 253        2494 254      800 196         2448 200    74.0
820 567        2059 562      800 492         2104 502    76.0
871 529        2054 539      800 492         2042 470    76.0
790 288        2431 281      812 272         2414 260    28.0
817 1226        2468 1247      820 1288         2536 1268    66.0
846 350        2377 313      830 392         2370 390    44.0
850 347        2463 324      830 392         2498 394    44.0
811 855        2415 855      840 852         2444 852    33.0
822 826        2429 825      840 852         2444 852    33.0
822 825        2429 825      840 852         2444 852    33.0
849 823        2457 825      840 852         2444 852    33.0
868 876        2577 880      840 852         2634 828    33.0
823 825        2429 825      840 852         2444 852    33.0
809 828        2414 828      840 852         2444 852    33.0
830 815        2438 813      840 852         2444 852    33.0
894 597        2433 629      846 594         2472 596    52.0
891 590        2518 589      846 594         2472 596    52.0
867 638        2488 640      846 594         2472 596    52.0
902 603        2529 601      846 594         2472 596    52.0
823 641        2446 640      846 594         2472 596    52.0
822 637        2488 640      846 594         2472 596    52.0
883 630        2080 642      846 594         2044 604    52.0
902 878        1979 876      856 926         1940 928    72.0
930 932        2000 944      856 926         2068 936    72.0
862 413        2862 411      858 334         2872 340    75.0
918 289        2362 328      858 334         2434 316    75.0
913 376        2669 377      858 334         2594 348    75.0
795 513        2585 504      862 476         2558 472    74.0
940 488        2693 520      862 476         2728 484    74.0
873 1115        2533 1115      862 1066         2522 1044    55.0
840 1117        2497 1117      862 1066         2522 1044    55.0
835 1119        1952 1109      862 1066         1976 1066    55.0
789 479        2585 504      862 476         2558 472    74.0
901 1102        2568 1100      862 1066         2522 1044    55.0
814 425        2678 479      862 476         2728 484    74.0
901 1102        2568 1100      862 1066         2522 1044    55.0
930 640        2644 671      866 670         2612 686    69.0
799 696        2724 641      866 670         2678 704    69.0
819 617        2448 616      866 670         2456 692    69.0
825 780        2547 793      868 730         2568 728    69.0
886 791        2595 791      868 730         2568 728    69.0
812 766        2480 777      868 730         2504 732    69.0
941 732        2731 686      868 730         2718 754    69.0
928 771        2632 770      868 730         2568 728    69.0
827 252        2480 254      874 260         2522 268    43.0
900 229        2923 270      874 260         2898 282    43.0
922 259        2574 258      874 260         2638 290    43.0
835 280        2486 282      874 260         2522 268    43.0
840 747        2775 820      878 804         2828 796    65.0
851 861        2020 881      878 804         1990 816    65.0
948 601        2664 645      906 608         2734 624    48.0
896 1114        2563 1112      908 1156         2572 1158    45.0
884 1189        2550 1189      908 1156         2572 1158    45.0
951 1132        2613 1128      908 1156         2690 1140    45.0
928 1119        2038 1104      908 1156         2018 1144    45.0
881 1188        2546 1188      908 1156         2572 1158    45.0
872 1174        2535 1173      908 1156         2572 1158    45.0
865 1166        2604 1134      908 1156         2572 1158    45.0
872 1173        2535 1173      908 1156         2572 1158    45.0
950 1133        2612 1128      908 1156         2690 1140    45.0
969 472        2667 507      916 440         2664 446    59.0
906 377        2652 378      916 440         2664 446    59.0
952 390        2709 390      916 440         2664 446    59.0
948 279        2023 322      922 320         2088 316    53.0
866 329        2366 277      922 320         2434 316    53.0
935 269        2595 269      922 320         2594 348    53.0
855 515        2038 524      924 540         2002 534    75.0
897 772        1948 761      934 828         1990 816    72.0
974 882        2665 887      934 828         2634 828    72.0
990 870        2681 879      934 828         2634 828    72.0
863 796        2646 753      934 828         2634 828    72.0
938 759        2645 759      934 828         2634 828    72.0
