x_L y_L        x_R y_R       H_x_L H_y_L      H_x_R H_y_R    R 
1203 342        2880 328      1272 340         2956 320    73.0
1320 386        3010 363      1272 340         2956 320    73.0
1310 395        2997 376      1272 340         2956 320    73.0
1306 397        2997 376      1272 340         2956 320    73.0
1291 405        2970 389      1272 340         2956 320    73.0
1336 384        3015 373      1272 340         2956 320    73.0
1202 355        2878 342      1272 340         2956 320    73.0
1322 384        3010 363      1272 340         2956 320    73.0
1344 339        3026 298      1272 340         2956 320    73.0
774 559        2741 603      730 538         2694 562    53.0
