  x      y         
546   1049     68
736   805     135
695   791     136
726   1041     103
1133   1192     131
1132   1037     130
667   1112     41
807   1121     51
1125   888     33
752   559     158
529   1018     248
664   843     106
636   804     26
637   1168     17
1086   1130     59
1007   304     144
1049   865     169
1131   724     129
805   1121     53
685   897     44
736   991     98
640   1038     89
1182   1184     142
817   676     16
1137   1108     84
824   1033     89
737   903     123
1074   902     245
804   510     159
618   1095     7
654   1170     28
832   653     142
586   999     83
882   861     49
642   869     115
767   639     118
1095   577     190
1130   1192     131
1157   1192     141
930   925     129
1107   1112     70
819   1042     96
864   922     98
676   865     81
757   1060     20
530   854     5
1047   883     162
651   1159     33
1107   1111     72
749   549     150
724   1048     26
826   670     137
729   610     122
660   598     135
857   643     162
806   1028     103
361   692     72
853   643     159
859   859     98
583   794     72
799   837     19
648   864     108
1163   810     181
683   1027     109
859   522     159
910   863     65
336   1045     59
904   646     21
745   940     100
806   749     66
653   842     108
336   1044     58
709   1022     110
338   1047     60
916   650     21
361   689     83
728   560     147
790   871     43
637   1047     88
722   959     88
833   1057     2
676   864     86
746   909     112
784   1133     39
913   1177     5
857   520     160
738   1080     37
700   793     124
766   1033     110
648   1174     22
792   533     21
513   831     5
571   858     14
726   562     143
1138   724     43
852   638     161
791   534     19
1047   882     170
708   787     125
1139   925     165
1157   970     142
654   862     102
915   858     53
804   1122     54
764   759     124
724   814     10
1199   644     194
675   824     103
1166   991     143
1129   666     24
692   926     100
855   675     32
915   867     62
650   853     109
533   856     5
867   926     93
696   786     123
682   758     64
864   925     98
1162   806     179
531   855     5
692   896     40
602   866     117
1055   880     167
814   741     138
739   556     148
633   660     78
393   947     48
744   738     117
899   643     27
1066   771     111
635   1058     74
820   749     144
1157   974     141
1149   1008     199
362   692     74
877   933     80
662   1027     91
911   1121     120
700   390     134
633   920     90
690   784     124
706   811     3
628   946     62
920   1168     31
749   965     87
1093   636     15
743   911     111
726   804     129
295   1005     58
880   563     165
1155   973     150
688   1145     46
635   872     76
386   956     46
1154   970     147
1184   867     175
691   962     72
661   597     135
754   644     114
648   1161     32
1051   841     170
1174   1191     142
690   1006     110
1051   844     170
624   802     124
1050   848     170
789   822     37
771   569     159
1051   850     170
818   1114     80
913   865     62
783   573     6
622   805     121
1171   1180     10
913   864     63
674   1139     47
677   855     82
1009   300     141
1051   847     170
1115   831     171
642   1022     79
713   1127     96
755   793     127
634   802     70
1059   362     187
573   858     14
1052   848     171
1160   975     141
810   595     6
609   872     118
697   376     122
796   1121     61
656   600     127
710   786     126
538   1099     43
661   1114     3
703   806     128
846   676     10
1169   1182     11
757   554     151
730   896     3
840   645     154
697   789     124
693   1008     112
687   1139     42
879   664     146
813   743     147
695   922     7
1139   866     103
641   1020     78
626   1114     90
1088   565     192
1134   722     128
686   1143     46
926   877     58
692   593     128
602   1095     7
934   918     140
1137   868     55
624   953     58
685   868     62
1175   1190     136
540   1104     54
515   808     24
408   446     26
839   840     81
565   856     14
752   636     117
1175   768     184
924   932     122
853   601     41
673   784     98
696   789     122
645   1175     21
834   844     81
1113   891     40
785   759     124
853   687     126
767   351     158
865   688     103
833   650     148
683   864     222
424   670     97
1136   723     32
379   939     56
911   1178     8
614   1077     44
583   780     110
1014   294     142
865   677     127
730   788     127
1206   674     190
597   1099     4
1137   1101     80
819   1028     94
874   531     161
878   564     166
1167   782     185
1158   1187     7
714   1034     108
769   562     9
569   859     12
861   530     162
1136   1199     134
753   554     149
497   408     118
712   1033     107
1073   241     181
824   731     140
659   1118     6
718   916     110
690   1070     97
846   850     39
733   1084     32
903   805     132
870   667     163
420   660     96
619   944     254
623   1115     76
1134   870     28
1096   632     23
626   1115     63
1068   786     114
740   623     122
633   870     248
1088   1160     22
773   628     124
889   1187     10
1147   1015     250
591   1002     84
1195   689     190
814   593     9
1139   624     122
579   960     88
761   635     118
780   573     100
1198   902     173
658   1099     96
838   1053     5
688   973     81
519   835     7
1132   312     188
1096   620     33
857   914     114
495   461     123
1055   546     181
631   918     95
679   855     96
373   1054     51
1088   556     202
677   851     80
1041   640     57
732   1127     6
1187   696     183
415   402     96
1122   1184     139
873   578     168
818   1121     15
1144   726     154
684   787     75
828   731     142
937   885     36
897   810     136
699   1016     112
1085   908     155
913   697     78
868   665     153
738   909     113
617   946     192
383   1049     50
680   780     53
319   949     68
798   586     13
718   786     124
698   974     86
360   697     36
778   632     124
869   523     162
795   535     17
612   947     14
310   1037     58
1099   630     29
618   1179     40
854   643     159
767   634     120
653   709     46
593   1165     70
858   1157     5
1094   818     45
309   1035     56
690   879     44
680   824     90
577   856     15
416   663     96
297   990     58
432   395     105
1190   875     175
695   372     116
428   675     96
622   803     122
1098   617     44
859   909     127
677   831     73
929   869     50
860   1157     5
1092   517     124
920   875     59
693   821     144
860   929     92
1134   633     85
442   383     107
1108   1173     127
1117   899     170
817   831     22
740   896     4
732   813     8
1036   560     179
685   1067     98
417   658     97
1016   586     161
703   1002     111
1147   727     148
672   843     90
371   1054     50
871   582     165
1162   492     197
1116   480     195
824   729     137
778   751     121
694   821     136
837   1049     20
654   1110     71
801   1032     107
653   1010     75
484   1099     53
553   1057     4
693   1052     9
747   332     154
391   1043     49
614   559     120
1189   694     185
413   661     97
867   1180     112
694   371     115
914   708     92
425   386     103
1038   552     183
747   657     117
762   344     156
739   815     13
723   1128     5
864   1178     97
500   1114     38
1041   861     169
753   553     149
631   930     76
795   767     144
740   814     2
774   633     122
638   1121     3
1036   560     179
1091   242     183
844   645     156
597   796     113
652   710     43
421   666     98
743   401     154
791   588     104
644   624     118
725   1129     7
1104   358     190
1154   538     195
1126   265     186
568   977     80
781   543     16
763   550     152
700   1081     96
750   744     120
855   1166     105
671   841     94
703   1081     94
529   1026     206
720   1062     108
312   953     66
1127   906     17
1025   253     180
1184   967     164
758   1025     107
589   987     72
746   911     111
859   1162     3
638   1046     87
366   656     77
856   1169     94
1113   350     189
320   1042     75
599   800     121
1075   745     117
809   602     142
1114   1192     126
485   409     117
1134   870     28
588   1158     77
921   919     21
703   999     108
750   957     88
702   999     110
1122   1038     131
531   1012     248
1081   738     110
633   1048     88
1051   869     169
1075   557     51
694   795     134
718   729     115
1109   1097     65
730   966     85
722   1063     106
1213   989     168
1163   524     195
778   576     146
885   646     20
709   707     54
496   1098     29
839   504     157
